Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges,Tom Hoch,Aswar Rahman,UWI,Ronald Lischeid,David Rosenfeld,Al Flowers,Captain Jack Sparrow,Gregg A. Iverson,Charlie Gers,Troy Benjegerdes,L.A. Nik,Ian Simpson,David John Wilson
,,,,,3,,,,,5,,,,,,4
,,5,4,3,,,,,,,,,,,,
5,,3,,4,,,,,,,,,,,,
,5,,3,,,,,,4,,,,,,,
,,4,3,5,,,,,,,,,,,,
5,4,,3,,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
4,,,5,,,,,,,,,,,,,
,,4,5,3,,,,,,,,,,,,
5,4,,3,,,,,,,,,,,,,
,,4,5,3,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,3
5,4,,3,,,,,,,,,,,,,
,3,4,,,5,,,,,,,,,,,
,,,4,5,,,,,3,,,,,,,
4,3,,5,,,,,,,,,,,,,
,3,,5,4,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
5,,3,,4,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
3,,4,5,,,,,,,,,,,,,
,4,5,,,,,,,,3,,,,,,
,,4,5,3,,,,,,,,,,,,
,4,5,3,,,,,,,,,,,,,
,,4,5,,,,,,3,,,,,,,
,,4,,5,,,,,,,,,,,,
,,4,5,,,,,,,3,,,,,,
5,,4,3,,,,,,,,,,,,,
3,4,5,,,,,,,,,,,,,,
,4,5,,3,,,,,,,,,,,,
5,3,,4,,,,,,,,,,,,,
5,4,,3,,,,,,,,,,,,,
5,,,4,,,,,,,,,,,,,
,,,4,5,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
5,,,4,3,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,3,5,,4,,,,,,,,,,,,
4,,,,5,,,,,,,3,,,,,
3,,4,,5,,,,,,,,,,,,
,,,,,,,,,,,,5,3,4,,
,,4,,5,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
,5,4,,3,,,,,,,,,,,,
,3,4,,5,,,,,,,,,,,,
,,,4,5,,,,,,,,,,,,
,3,5,,4,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
4,,3,5,,,,,,,,,,,,,
5,,,3,4,,,,,,,,,,,,
3,4,,5,,,,,,,,,,,,,
,,,3,5,,,,4,,,,,,,,
,,4,3,5,,,,,,,,,,,,
3,,4,,5,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
5,,,3,4,,,,,,,,,,,,
3,5,,,4,,,,,,,,,,,,
,3,,5,4,,,,,,,,,,,,
,5,3,4,,,,,,,,,,,,,
5,,3,4,,,,,,,,,,,,,
,,4,5,,,,,,,3,,,,,,
4,3,5,,,,,,,,,,,,,,
4,3,,,5,,,,,,,,,,,,
4,,,5,3,,,,,,,,,,,,
,4,,5,,3,,,,,,,,,,,
,,5,,,3,,,,,,4,,,,,
4,3,5,,,,,,,,,,,,,,
,,4,,5,3,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
4,,3,,5,,,,,,,,,,,,
4,5,,,,,,,3,,,,,,,,
3,,5,,4,,,,,,,,,,,,
3,,4,5,,,,,,,,,,,,,
,5,4,,,,,,,,,,,,,,
5,4,,3,,,,,,,,,,,,,
4,5,,3,,,,,,,,,,,,,
,,,,5,,,,,,4,,,,,3,
,5,3,,4,,,,,,,,,,,,
3,,5,4,,,,,,,,,,,,,
4,,,,5,,,,,3,,,,,,,
,,,,5,,,,,,,,,,,,
4,,5,,,,,,,,,,,,,,
3,4,,5,,,,,,,,,,,,,
,,5,4,,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,3,5,4,,,,,,,,,,,,,
,5,4,,,,,,,,,,,,,,3
,,,4,5,,,,,,,,,,,,
4,5,,,,,,,,3,,,,,,,
,,4,5,3,,,,,,,,,,,,
3,,5,,,,,,,4,,,,,,,
5,4,,,,,,,,,,,,,,,
,,5,,4,3,,,,,,,,,,,
4,,,5,,,,,,,,,,,,,
,,3,5,4,,,,,,,,,,,,
,,3,5,4,,,,,,,,,,,,
4,,5,,,,,,,,,,,,,,
3,,4,5,,,,,,,,,,,,,
5,4,,3,,,,,,,,,,,,,
,3,5,4,,,,,,,,,,,,,
4,,,5,3,,,,,,,,,,,,
,,5,,4,,,,,3,,,,,,,
,,,5,,,,,,,,,,,,,
5,,4,3,,,,,,,,,,,,,
,3,4,5,,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
5,,,,,,,,4,,3,,,,,,
,3,4,5,,,,,,,,,,,,,
,,,4,5,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
4,3,,5,,,,,,,,,,,,,
,,4,5,3,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
4,,5,,3,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,3,4,5,,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
3,,4,,5,,,,,,,,,,,,
3,5,4,,,,,,,,,,,,,,
,,,,,5,,,,,,,,,,,
,,4,5,,,,,,,3,,,,,,
,,5,4,3,,,,,,,,,,,,
3,,4,,5,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,,3,4,5,,,,,,,,,,,,
4,,5,,,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
3,,5,4,,,,,,,,,,,,,
,,4,,5,3,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
,4,5,,,,,,,,,,,,,,
,5,3,4,,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,,4,,5,3,,,,,,,,,,,
,4,,,5,3,,,,,,,,,,,
,,,,3,4,,,,5,,,,,,,
,5,3,4,,,,,,,,,,,,,
,,,4,5,,,,,,,,,,,,
,3,5,,4,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,,3,4,5,,,,,,,,,,,,
5,,3,,4,,,,,,,,,,,,
,5,4,3,,,,,,,,,,,,,
,,5,4,,,,,,3,,,,,,,
4,,3,5,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
4,,3,5,,,,,,,,,,,,,
,3,4,5,,,,,,,,,,,,,
,,,4,5,,,,,,,,,,,,
,5,,3,4,,,,,,,,,,,,
,3,,4,5,,,,,,,,,,,,
,,,,5,,,,,,,,4,,3,,
,4,5,3,,,,,,,,,,,,,
,5,4,3,,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,3,4,,5,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
,,,4,5,3,,,,,,,,,,,
,,4,5,,,,,,,,,,,,,
3,,,5,,,,,,4,,,,,,,
,,,4,5,,,,,,3,,,,,,
,4,5,,3,,,,,,,,,,,,
,,4,,5,,,,3,,,,,,,,
3,,4,5,,,,,,,,,,,,,
,,3,,5,,4,,,,,,,,,,
,,4,5,3,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
3,,5,4,,,,,,,,,,,,,
,3,4,,5,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
3,5,4,,,,,,,,,,,,,,
3,,4,,5,,,,,,,,,,,,
5,3,,,4,,,,,,,,,,,,
,,4,5,3,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
5,3,,4,,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
3,4,5,,,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
,3,5,,4,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
5,,,,,,,,,3,,,,,,,
,,5,3,4,,,,,,,,,,,,
,,5,4,,,,,,,,,,,,,
5,3,,4,,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,4,5,,3,,,,,,,,,,,,
4,,5,,3,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
4,,5,3,,,,,,,,,,,,,
3,,5,,4,,,,,,,,,,,,
4,3,,5,,,,,,,,,,,,,
3,4,,5,,,,,,,,,,,,,
,,,5,3,4,,,,,,,,,,,
4,,,,5,,,,,,,,,,,,
,4,5,3,,,,,,,,,,,,,
5,3,4,,,,,,,,,,,,,,
5,,,4,3,,,,,,,,,,,,
4,3,,5,,,,,,,,,,,,,
,4,3,5,,,,,,,,,,,,,
4,,,,5,3,,,,,,,,,,,
,5,,4,,3,,,,,,,,,,,
,3,,5,4,,,,,,,,,,,,
4,,,3,5,,,,,,,,,,,,
,5,4,,3,,,,,,,,,,,,
,5,,3,4,,,,,,,,,,,,
3,5,,,4,,,,,,,,,,,,
3,4,,5,,,,,,,,,,,,,
,3,4,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,,
,4,5,3,,,,,,,,,,,,,
4,,,5,,,,,,,3,,,,,,
,,,5,4,,,,,3,,,,,,,
5,4,,,3,,,,,,,,,,,,
,,,5,3,,,,,,,,,,,,
5,4,,3,,,,,,,,,,,,,
3,,4,,5,,,,,,,,,,,,
,5,,3,,4,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
4,,5,,3,,,,,,,,,,,,
,3,5,,4,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,3,4,,5,,,,,,,,,,,,
,5,4,3,,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
5,,3,,4,,,,,,,,,,,,
,,3,,5,,,,,4,,,,,,,
4,5,,,3,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,4,,,5,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,5,4,,3,,,,,,,,,,,,
,,3,4,5,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
,,5,4,,,,,,3,,,,,,,
3,4,5,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
5,,,4,,,,,,,,,,,,,
5,3,,4,,,,,,,,,,,,,
3,,,5,4,,,,,,,,,,,,
,,4,,5,3,,,,,,,,,,,
,,4,5,3,,,,,,,,,,,,
,,,,4,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
,,5,,4,,,,,,,,,3,,,
3,,5,,,,,,,,,4,,,,,
,,,,5,,,,,,,,,,,,
5,,,4,3,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,3
,,,,,4,,,,5,3,,,,,,
,,,,5,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
4,,3,,5,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,,4,,5,,,,,,,,3,,,,
,,5,,4,,,,,,,,,,,,
3,,5,4,,,,,,,,,,,,,
,3,5,4,,,,,,,,,,,,,
,4,5,3,,,,,,,,,,,,,
,,4,,5,3,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
4,5,,3,,,,,,,,,,,,,
4,,5,,3,,,,,,,,,,,,
,,4,,5,,,,,,,,,,3,,
,3,4,5,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
3,4,,5,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
4,,5,,3,,,,,,,,,,,,
,3,5,,4,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
4,3,,,5,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,,,4,5,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
3,,4,,5,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
,5,4,3,,,,,,,,,,,,,
,3,4,5,,,,,,,,,,,,,
,,,,,,5,,,,,,,,,,
3,5,,,4,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
,,,4,5,3,,,,,,,,,,,
5,,3,,,,,,4,,,,,,,,
4,,5,3,,,,,,,,,,,,,
5,,4,,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
3,4,,5,,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
5,,3,4,,,,,,,,,,,,,
,,,3,5,,,,,,,,4,,,,
,,3,4,5,,,,,,,,,,,,
,3,4,,5,,,,,,,,,,,,
,,5,,4,3,,,,,,,,,,,
,4,,3,5,,,,,,,,,,,,
,,4,5,3,,,,,,,,,,,,
4,,5,,3,,,,,,,,,,,,
4,5,3,,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
,,5,,,4,,,,,,,3,,,,
4,,5,,3,,,,,,,,,,,,
5,4,,,3,,,,,,,,,,,,
5,,3,,4,,,,,,,,,,,,
5,,4,,3,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,4,5,3,,,,,,,,,,,,,
,,4,5,,,,,,,3,,,,,,
,,4,,5,,,,3,,,,,,,,
,,5,,,,,,,,,,,,,,
3,,,,,,,,,,5,,,,,,4
3,,4,,5,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,,,4,5,,,,,,,,,,,,
,4,,3,5,,,,,,,,,,,,
,,4,,5,,,,,3,,,,,,,
4,5,,,3,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
3,,,5,,4,,,,,,,,,,,
,,3,5,4,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
3,,,4,5,,,,,,,,,,,,
,,,5,3,,,,,4,,,,,,,
,5,3,,,,,,,4,,,,,,,
5,3,,4,,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,,,4,5,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
4,,,,5,3,,,,,,,,,,,
,5,3,,4,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,,3,5,4,,,,,,,,,,,,
,3,4,5,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,4
,,5,,4,,,,,,,,,,3,,
,,4,3,5,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,,4,5,,3,,,,,,,,,,,
,4,5,,,,,,,,,3,,,,,
,,5,3,4,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
5,4,,,3,,,,,,,,,,,,
5,4,,3,,,,,,,,,,,,,
3,,5,,4,,,,,,,,,,,,
3,,4,,5,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,3
,,4,,5,,,,,,,,,,,,
,3,5,4,,,,,,,,,,,,,
3,,4,,,5,,,,,,,,,,,
3,4,,5,,,,,,,,,,,,,
,5,4,3,,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
,4,,5,3,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
3,,5,,4,,,,,,,,,,,,
,,3,4,5,,,,,,,,,,,,
,4,,5,,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
3,5,,4,,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
,,,,5,,,4,,,,,,,3,,
4,,,5,,,,,,,,,,,,,
,,5,,4,3,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
,4,,3,5,,,,,,,,,,,,
,,5,,4,3,,,,,,,,,,,
3,,5,,4,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
4,5,,,,,,,,,,,,,,,3
,,,5,4,,,,,,,,,,3,,
3,,5,,4,,,,,,,,,,,,
4,5,,,,3,,,,,,,,,,,
,,,5,3,,,,,,,4,,,,,
,5,,3,,,,,,4,,,,,,,
,,,,5,,,,,,4,,,,,,
,,4,5,3,,,,,,,,,,,,
,4,,5,,,,,,,,,,,,,
,,5,,4,3,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
3,5,4,,,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,,5,,,4,,,,,,,,,,,
,,,4,5,,,,,,,,,,,3,
5,3,,4,,,,,,,,,,,,,
,5,4,,3,,,,,,,,,,,,
4,,5,3,,,,,,,,,,,,,
5,4,,3,,,,,,,,,,,,,
3,,5,,4,,,,,,,,,,,,
,3,5,4,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
,4,5,3,,,,,,,,,,,,,
,4,3,5,,,,,,,,,,,,,
,4,3,5,,,,,,,,,,,,,
,4,,3,5,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
3,,,5,,,,,,4,,,,,,,
3,,,,5,,,,,,,4,,,,,
,4,,5,,,,,,,,,,,,,
,,,,,,,3,,,5,,,,,,4
,5,4,,3,,,,,,,,,,,,
,,,4,5,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
,,3,5,4,,,,,,,,,,,,
3,,4,,5,,,,,,,,,,,,
3,,,5,4,,,,,,,,,,,,
4,5,,3,,,,,,,,,,,,,
,,3,5,4,,,,,,,,,,,,
,4,,,5,,,,,,3,,,,,,
3,,4,,5,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
5,4,,,,3,,,,,,,,,,,
,,4,,5,3,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
3,,4,,5,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,
4,,,5,,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
,4,,5,,,,,,,,,,,,,
,4,,5,3,,,,,,,,,,,,
,,,5,3,,,,,4,,,,,,,
,,4,,5,,,,,,,,,,,,
,5,,4,3,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
4,3,,,5,,,,,,,,,,,,
3,4,,5,,,,,,,,,,,,,
,,,5,4,,,,,,,,,,,,
,4,,5,3,,,,,,,,,,,,
,,5,,,,,,4,,3,,,,,,
4,,,,3,,,,,,5,,,,,,
,,,,5,,,,,,,,,,,,
3,,5,,4,,,,,,,,,,,,
,4,,3,5,,,,,,,,,,,,
5,,,,4,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
4,5,,,3,,,,,,,,,,,,
,,4,5,3,,,,,,,,,,,,
,,,5,,4,,,,,,,,,,,
3,,5,,4,,,,,,,,,,,,
,3,4,,5,,,,,,,,,,,,
,,,,,,,4,,,3,,5,,,,
,,5,4,3,,,,,,,,,,,,
,,4,,5,,,,,,,,,3,,,
4,,5,3,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
4,,,5,,,,,3,,,,,,,,
5,,,,,,,,,4,,,,,,,
5,,,,4,,,,,,,,,,,,
,,5,4,,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,,,5,4,3,,,,,,,,,,,
,,4,5,,,,,,,,,,,,,
,,4,5,3,,,,,,,,,,,,
3,,5,4,,,,,,,,,,,,,
3,,5,,4,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,3,5,,4,,,,,,,,,,,,
5,,3,4,,,,,,,,,,,,,
5,3,4,,,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
,,5,,4,,,,,,3,,,,,,
,3,4,5,,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,,4,,5,,,,,,,3,,,,,
3,,5,4,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
4,3,,,5,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,,,,,,,,,,,,4,,5,3,
5,4,,3,,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,,3,4,5,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
,3,,4,5,,,,,,,,,,,,
,3,5,4,,,,,,,,,,,,,
5,,3,,4,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
,3,4,,5,,,,,,,,,,,,
,,3,5,4,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
5,3,,,4,,,,,,,,,,,,
,,4,3,,,,,,,,,5,,,,
,5,,,,,,,,,,,,,,,3
3,,4,,5,,,,,,,,,,,,
,4,3,5,,,,,,,,,,,,,
5,,,,,,,,,,4,,,,,,
5,4,,,3,,,,,,,,,,,,
3,,4,,5,,,,,,,,,,,,
,,5,,3,,,,,,,,,,,,
5,4,3,,,,,,,,,,,,,,
4,,3,,5,,,,,,,,,,,,
3,,5,,4,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
4,,5,,3,,,,,,,,,,,,
,5,4,,,,,,,3,,,,,,,
,3,5,,4,,,,,,,,,,,,
,4,5,,3,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
3,,,4,5,,,,,,,,,,,,
4,5,,3,,,,,,,,,,,,,
,,5,,4,,,,,,,,3,,,,
5,3,,4,,,,,,,,,,,,,
,4,5,,3,,,,,,,,,,,,
,5,,3,4,,,,,,,,,,,,
,3,,4,5,,,,,,,,,,,,
,,5,,,,,,,,4,,,,,,
5,4,,3,,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
3,5,,,4,,,,,,,,,,,,
3,,4,5,,,,,,,,,,,,,
5,,4,3,,,,,,,,,,,,,
,,5,4,,,,,,,,,,,,,
3,,5,4,,,,,,,,,,,,,
,,,,5,4,,,,,,,,,,,
3,,,5,4,,,,,,,,,,,,
,3,5,,4,,,,,,,,,,,,
4,,,5,,,,,,,,,,,,,
5,,,,4,,,,,,,,,,,,
5,,,4,3,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,4,,5,,,,,3,,,,,,,,
,,,5,,,,,,,,,,,,,
5,4,3,,,,,,,,,,,,,,
,3,5,,4,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
5,4,,3,,,,,,,,,,,,,
5,4,3,,,,,,,,,,,,,,
,5,,4,3,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
4,5,,3,,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
,5,3,,,,,,,4,,,,,,,
,,4,3,5,,,,,,,,,,,,
,,4,5,3,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
5,3,,4,,,,,,,,,,,,,
3,4,,5,,,,,,,,,,,,,
,4,,5,,,,,,3,,,,,,,
,,5,,4,,,,,,,,,,,,
4,5,3,,,,,,,,,,,,,,
3,5,4,,,,,,,,,,,,,,
5,,4,3,,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,3,5,,4,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
4,,5,,3,,,,,,,,,,,,
4,,,5,3,,,,,,,,,,,,
,4,3,5,,,,,,,,,,,,,
,4,,,5,,,,,,3,,,,,,
,,5,3,4,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
,3,,,4,5,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
,,,,3,,,,,,,,4,,5,,
4,5,,3,,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
3,,4,,,5,,,,,,,,,,,
4,5,,,,,,,,,,,,,,,
4,3,,5,,,,,,,,,,,,,
5,3,,4,,,,,,,,,,,,,
,,,4,5,,,,,,,,,,,,
,5,,4,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
3,,5,,4,,,,,,,,,,,,
,,5,,3,,,,,,,,,4,,,
4,3,,5,,,,,,,,,,,,,
,3,,4,,,,,,5,,,,,,,
,5,,4,,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,,3,5,4,,,,,,,,,,,,
3,,5,,4,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
,3,5,4,,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
5,3,4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
,5,,,,,,,,4,,,,,,,
4,5,3,,,,,,,,,,,,,,
,5,,3,4,,,,,,,,,,,,
4,,,5,,,,,,,,,,3,,,
,,4,5,3,,,,,,,,,,,,
5,4,,,,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
4,,,5,3,,,,,,,,,,,,
,,5,4,3,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
,4,3,,5,,,,,,,,,,,,
3,5,4,,,,,,,,,,,,,,
,,3,5,4,,,,,,,,,,,,
5,,4,,3,,,,,,,,,,,,
4,,5,3,,,,,,,,,,,,,
5,,4,3,,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
,4,5,3,,,,,,,,,,,,,
,5,,,,4,,,,,,,,,,,
,3,5,,4,,,,,,,,,,,,
,,4,5,3,,,,,,,,,,,,
,,4,5,,,,,,,,,,,,,
,3,4,5,,,,,,,,,,,,,
4,,,5,,,,,,,,,,,,3,
4,5,,,,3,,,,,,,,,,,
,,,5,4,,,,,3,,,,,,,
5,3,4,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
4,,5,3,,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,,,5,,,,,,,,,,,,,
,,5,,4,3,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,5,4,,3,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
,4,3,5,,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
,,5,,4,,,,,,,,,,,,
,4,3,5,,,,,,,,,,,,,
,4,5,,3,,,,,,,,,,,,
,,4,5,3,,,,,,,,,,,,
,4,3,5,,,,,,,,,,,,,
,4,,5,,,,,,,,,,,,,
,,5,,4,,,,,,,3,,,,,
3,4,,5,,,,,,,,,,,,,
,,,5,4,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
,3,5,4,,,,,,,,,,,,,
,5,3,,4,,,,,,,,,,,,
,3,4,,5,,,,,,,,,,,,
5,,,,,,,,,,,,3,4,,,
5,4,,3,,,,,,,,,,,,,
,,4,,5,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
,4,,,5,,,,,3,,,,,,,
,,5,,4,,,,,,,,,,,,
3,,4,,5,,,,,,,,,,,,
,,,,,,,4,,,,,5,,,,
,5,,,4,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
3,,5,,4,,,,,,,,,,,,
4,3,,5,,,,,,,,,,,,,
,,5,,,,,,,,3,,,4,,,
,,4,,5,,,,,,,,,,3,,
,3,,5,,4,,,,,,,,,,,
,,4,5,3,,,,,,,,,,,,
,,5,,4,,,,,,,3,,,,,
,,5,,4,,,,,,,,,,,,
,5,,4,,3,,,,,,,,,,,
,,,4,5,,3,,,,,,,,,,
,,,,5,4,,,,3,,,,,,,
3,4,,5,,,,,,,,,,,,,
,3,4,,5,,,,,,,,,,,,
,,,,5,,,,,,,,,,,,
,,,,,,,5,,,,,4,,,,
,,4,3,5,,,,,,,,,,,,
4,,,3,5,,,,,,,,,,,,
4,3,5,,,,,,,,,,,,,,
4,3,,5,,,,,,,,,,,,,
,,5,3,4,,,,,,,,,,,,
,,,,5,,,,,,,,,,,4,
3,5,,4,,,,,,,,,,,,,
3,,5,,4,,,,,,,,,,,,
,,4,3,5,,,,,,,,,,,,
,5,,,,4,,,,3,,,,,,,
,,,,5,,,,,,,,,,4,,3
5,,3,,4,,,,,,,,,,,,
3,,,4,5,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,
